(16, sabato, 9, 11, cPCP, gabardi)
(16, sabato, 11, 13, cPCP, gabardi)
(16, sabato, 13, 14, aSLCW, micalizio)

(17, venerdi, 9, 11, aSLCW, micalizio)
(17, venerdi, 11, 13, cASM, taddeo)
(17, venerdi, 14, 16, aESID, ghidelli)
(17, venerdi, 16, 18, aESID, ghidelli)
(17, sabato, 9, 11, aESID, ghidelli)
(17, sabato, 11, 13, aESID, ghidelli)

(18, venerdi, 9, 11, aESID, ghidelli)
(18, venerdi, 11, 13, aSLCW, micalizio)
(18, venerdi, 14, 16, recupero, docente)
(18, venerdi, 16, 18, aESID, ghidelli)
(18, sabato, 9, 11, tSMD, zanchetta)
(18, sabato, 11, 13, aESID, ghidelli)
(18, sabato, 13, 14, aSLCW, micalizio)

(19, venerdi, 9, 11, iSMM, suppini)
(19, venerdi, 11, 13, tSMD, zanchetta)
(19, venerdi, 14, 16, tSMD, zanchetta)
(19, venerdi, 16, 18, sMISM, giordani)
(19, sabato, 9, 11, cASM, taddeo)
(19, sabato, 11, 13, sMISM, giordani)

(20, venerdi, 9, 11, recupero, docente)
(20, venerdi, 11, 13, pSAWDM1, pozzato)
(20, venerdi, 14, 16, tSMD, zanchetta)
(20, venerdi, 16, 18, iSMM, suppini)
(20, sabato, 9, 11, sMISM, giordani)
(20, sabato, 11, 13, sMISM, giordani)

(21, venerdi, 9, 11, pSAWDM1, pozzato)
(21, venerdi, 11, 13, cASM, taddeo)
(21, venerdi, 14, 16, cASM, taddeo)
(21, venerdi, 16, 18, pGDI, terranova)
(21, sabato, 9, 11, pSAWDM1, pozzato)
(21, sabato, 11, 13, pSAWDM1, pozzato)

(22, venerdi, 9, 11, tSMD, zanchetta)
(22, venerdi, 11, 13, pSAWDM1, pozzato)
(22, venerdi, 14, 16, pSAWDM2, schifanella)
(22, venerdi, 16, 18, pSAWDM2, schifanella)
(22, sabato, 9, 11, iSMM, suppini)
(22, sabato, 11, 13, iSMM, suppini)

(23, venerdi, 9, 11, pGDI, terranova)
(23, venerdi, 11, 13, sMISM, giordani)
(23, venerdi, 14, 16, sMISM, giordani)
(23, venerdi, 16, 18, iSMM, suppini)
(23, sabato, 9, 11, iSMM, suppini)
(23, sabato, 11, 13, sMISM, giordani)
(23, sabato, 13, 14, pSAWDM2, schifanella)

(24, venerdi, 9, 11, pSAWDM2, schifanella)
(24, venerdi, 11, 13, iSMM, suppini)
(24, venerdi, 14, 16, pGDI, terranova)
(24, venerdi, 16, 18, pSAWDM2, schifanella)
(24, sabato, 9, 11, pGDI, terranova)
(24, sabato, 11, 13, pGDI, terranova)
(24, sabato, 13, 14, pSAWDM2, schifanella)

364/376
